City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Schubelbach,CH,2021-09-27 23:52:20,47.1733,8.9281,62.35,61,55,3.24
159,Madang,PG,2021-09-27 23:52:21,-5.2246,145.7966,80.26,87,100,3.78
160,Samarai,PG,2021-09-27 23:52:21,-10.6167,150.6667,79.75,83,92,13.0
161,Vardo,NO,2021-09-27 23:52:22,70.3705,31.1107,48.54,90,74,14.94
162,Margate,GB,2021-09-27 23:48:06,51.3813,1.3862,55.31,79,5,1.99
163,Goderich,CA,2021-09-27 23:52:22,43.7501,-81.7165,61.92,88,100,10.36
164,Kedougou,SN,2021-09-27 23:52:23,12.5579,-12.1743,74.5,94,56,2.66
165,Aitape,PG,2021-09-27 23:52:23,-3.1374,142.3475,85.12,68,85,4.12
166,Myskhako,RU,2021-09-27 23:52:24,44.6714,37.7433,46.18,76,0,9.04
167,Ponca City,US,2021-09-27 23:52:24,36.707,-97.0856,91.36,29,1,8.05
168,Dubbo,AU,2021-09-27 23:52:24,-32.25,148.6167,66.33,55,99,12.66
169,Soledad,CO,2021-09-27 23:52:25,10.9184,-74.7646,87.06,88,40,6.91
170,Kalamare,BW,2021-09-27 23:52:25,-22.9337,26.5703,68.41,28,0,8.9
171,Nisia Floresta,BR,2021-09-27 23:52:26,-6.0911,-35.2086,79.61,84,30,12.64
172,Saskylakh,RU,2021-09-27 23:52:27,71.9167,114.0833,25.36,91,15,8.59
173,Stykkisholmur,IS,2021-09-27 23:52:27,65.0757,-22.7297,36.36,76,84,5.17
174,Espinho,PT,2021-09-27 23:52:28,41.0076,-8.6413,64.18,89,89,10.2
175,East London,ZA,2021-09-27 23:52:28,-33.0153,27.9116,64.24,77,100,18.68
176,Camacha,PT,2021-09-27 23:49:23,33.0833,-16.3333,68.76,73,20,4.61
177,Touros,BR,2021-09-27 23:47:38,-5.1989,-35.4608,79.7,83,16,16.91
178,Korla,CN,2021-09-27 23:52:29,41.7597,86.1469,64.53,26,0,4.21
179,Obidos,BR,2021-09-27 23:52:29,-1.9175,-55.5181,73.22,91,80,3.71
180,Porto Novo,BJ,2021-09-27 23:52:30,6.4965,2.6036,76.73,88,49,4.09
181,Verkhnyaya Inta,RU,2021-09-27 23:52:30,65.9811,60.3094,37.85,71,100,12.39
182,Bathsheba,BB,2021-09-27 23:52:31,13.2167,-59.5167,81.21,83,20,5.75
183,Lata,PT,2021-09-27 23:49:43,40.1629,-8.3327,67.05,93,95,2.77
184,San Andres,CO,2021-09-27 23:51:59,12.5847,-81.7006,84.22,74,90,6.91
185,Lashio,MM,2021-09-27 23:52:32,22.9333,97.75,66.16,98,92,0.98
186,Hobyo,SO,2021-09-27 23:52:32,5.3505,48.5268,77.52,83,79,25.97
187,Bereda,ES,2021-09-27 23:52:33,43.2686,-7.5406,55.0,100,100,2.08
188,La Orilla,MX,2021-09-27 23:52:33,17.9833,-102.2333,81.79,78,91,3.24
189,Cape Town,ZA,2021-09-27 23:51:35,-33.9258,18.4232,56.12,70,0,8.05
190,Tukrah,LY,2021-09-27 23:52:34,32.5341,20.5791,73.31,76,34,4.94
191,Carnarvon,AU,2021-09-27 23:47:38,-24.8667,113.6333,57.27,77,28,9.22
192,Okhtyrka,UA,2021-09-27 23:52:35,50.3104,34.8988,42.69,94,11,6.55
193,Chimoio,MZ,2021-09-27 23:52:35,-19.1164,33.4833,69.66,88,0,2.35
194,Pabrade,LT,2021-09-27 23:52:35,55.0,25.7833,48.63,92,2,3.69
195,Ulaangom,MN,2021-09-27 23:52:36,49.9811,92.0667,32.52,37,97,2.57
196,Dicabisagan,PH,2021-09-27 23:52:37,17.0818,122.4157,82.85,75,84,4.23
197,Esik,KZ,2021-09-27 23:52:37,43.3552,77.4525,47.62,52,5,3.33
198,Yenagoa,NG,2021-09-27 23:52:37,4.9247,6.2642,74.23,95,51,3.96
199,Huarmey,PE,2021-09-27 23:52:38,-10.0681,-78.1522,64.06,82,40,8.23
200,Mount Gambier,AU,2021-09-27 23:52:38,-37.8333,140.7667,57.11,62,75,12.66
201,Isangel,VU,2021-09-27 23:52:39,-19.55,169.2667,80.71,65,75,9.22
202,Tahoua,NE,2021-09-27 23:52:39,14.8888,5.2692,88.47,27,2,4.99
203,Kavaratti,IN,2021-09-27 23:52:40,10.5669,72.642,81.59,79,100,21.07
204,Saldanha,ZA,2021-09-27 23:52:40,-33.0117,17.9442,50.05,80,0,12.15
205,Hofn,IS,2021-09-27 23:52:40,64.2539,-15.2082,41.23,73,100,21.21
206,Taoudenni,ML,2021-09-27 23:52:41,22.6783,-3.9836,94.15,8,26,8.75
207,Ibra,OM,2021-09-27 23:52:41,22.6906,58.5334,79.34,60,75,3.62
208,Luchegorsk,RU,2021-09-27 23:52:42,46.4764,134.2569,61.18,93,100,4.18
209,Oranjemund,NA,2021-09-27 23:52:42,-28.55,16.4333,53.85,92,18,12.03
210,Maridi,SS,2021-09-27 23:52:43,4.9158,29.4742,67.1,96,92,2.8
211,Tiznit,MA,2021-09-27 23:52:43,29.5833,-9.5,76.06,26,0,2.28
212,Terrace,CA,2021-09-27 23:52:44,54.5163,-128.6035,55.31,82,75,5.75
213,Mar Del Plata,AR,2021-09-27 23:51:10,-38.0023,-57.5575,49.12,71,0,3.0
214,Krasnovishersk,RU,2021-09-27 23:52:44,60.4078,57.082,32.59,85,66,3.91
215,Khatanga,RU,2021-09-27 23:52:45,71.9667,102.5,26.53,77,74,7.92
216,Mae Hong Son,TH,2021-09-27 23:52:45,19.3003,97.9685,72.43,98,100,1.25
217,Pangoa,PE,2021-09-27 23:52:45,-12.1167,-73.0,73.51,75,94,3.29
218,Hilo,US,2021-09-27 23:52:46,19.7297,-155.09,82.13,66,1,9.22
