,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
613,Jiancheng,CN,81.61,overcast clouds,30.391,104.5491,Jianyang Celebrity City Hotel
615,Ishigaki,JP,82.94,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
618,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
619,Road Town,VG,89.64,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
620,Erzin,TR,75.72,clear sky,36.9559,36.2,Artemis Otel
623,Moissala,TD,75.04,scattered clouds,8.3404,17.7663,
629,Tecoanapa,MX,85.6,scattered clouds,16.5167,-98.75,Hotel Manglares
630,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
631,Hagerstown,US,85.24,clear sky,39.6418,-77.72,Hampton Inn Hagerstown
641,Barentu,ER,82.53,broken clouds,15.1139,37.5928,
642,Lethem,GY,90.0,broken clouds,3.3803,-59.7968,Savannah Inn
643,Turan,VN,80.58,few clouds,16.0678,108.2208,Sun River Hotel
645,Hengyang,CN,82.72,clear sky,26.8881,112.615,Honglin Guesthouse
651,Graciano Sanchez,MX,84.29,overcast clouds,23.9167,-99.2833,
652,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
653,Samarai,PG,79.61,overcast clouds,-10.6167,150.6667,Nuli Sapi
654,Beatrice,US,77.74,clear sky,40.2681,-96.747,Victorian Inn Beatrice
655,Baturaja,ID,75.36,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
657,Tual,ID,80.8,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
664,Belmonte,BR,84.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
667,Takoradi,GH,78.48,overcast clouds,4.8845,-1.7554,Raybow International Hotel
668,Mackay,AU,75.18,clear sky,-21.15,149.2,International Lodge Motel
678,Avera,US,85.91,broken clouds,33.194,-82.5271,
682,Waddan,LY,82.42,clear sky,29.1614,16.139,محل الشريف محمد العايب
685,Ondjiva,AO,76.75,few clouds,-17.0667,15.7333,SOS Motel
690,Raver,IN,79.7,overcast clouds,21.25,76.0333,Hotel Jay Durga
693,Amapa,BR,88.86,overcast clouds,1.0,-52.0,
694,Tomar Do Geru,BR,86.74,scattered clouds,-11.3733,-37.8406,Pousada
696,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
699,Tema,GH,84.61,few clouds,5.667,-0.0166,Beulah Royale Hotel Tema
